name,ingredients
Gavvalu,"rice flour, sugar, salt, ghee, semolina"
Kakinada khaja,"wheat flour, sugar"
Kuzhi paniyaram,"black lentils, rice"
Mysore pak,"besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee"
Obbattu holige,"maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom"
Palathalikalu,"rice flour, milk"
Poornalu,"chana dal, jaggery"
Pongal,"rice, jaggery, cashews, ghee"
Pootharekulu,"rice flour, powdered sugar, ghee"
Qubani ka meetha,"apricots, sugar syrup"
Sheer korma,"vermicelli pudding, milk"
Unni Appam,"rice flour, banana, jaggery, coconut"
Kajjikaya,"rice flour, jaggery, coconut"
Anarsa,"rice flour, jaggery, khus-khus seeds"
Basundi,"sugar, milk, nuts"
Dhondas,"cucumber, rava"
Doodhpak,"milk, rice, sugar, dry fruits"
Mahim halwa,"semolina, sugar"
Modak,"rice flour, coconut, jaggery "
Shankarpali,"sugar, ghee, maida flour, semolina"
Shrikhand,"curd, sugar, saffron, cardamom"
Sutar feni,"maida, sugar, ghee"
Maach Jhol,"fish, potol, tomato, chillies, ginger, garlic"
Pork Bharta,"boiled pork, onions, chillies, ginger and garlic"
Chak Hao Kheer,"rice, milk, sugar, cardamom"
Galho,"rice, axone, salt, water, chillies, pork"
Aloo gobi,"cauliflower, potato, garam masala, turmeric, curry leaves"
Aloo tikki,"rice flour, potato, bread crumbs, garam masala, salt"
Aloo matar,"potato, peas, chillies, ginger, garam masala, garlic"
Aloo methi,"potato, fenugreek leaves, chillies, salt, oil"
Aloo shimla mirch,"potato, shimla mirch, garam masala, amchur powder, salt"
Bhatura,"chole, rava, yogurt, plain flour, baking soda"
Bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chili powder"
Biryani,"chicken thighs, basmati rice, star anise, sweet, green chillies"
Butter chicken,"chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
Chana masala,"chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
Chapati,"whole wheat flour, olive oil, hot water, all purpose flour"
Chicken razala,"chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
Chicken Tikka masala,"naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
Chicken Tikka,"chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
Chole bhature,"chole, bhatura, garam masala, bay leaf, cinnamon stick"
Daal baati churma,"moong dal, masoor dal, chana dal, wheat flour, almond"
Daal puri,"moong dal, garam masala powder, garlic, green chilli, all purpose flour"
Dal makhani ,"red kidney beans, urad dal, cream, garam masala, chili powder"
Dal tadka,"pigeon peas, garam masala, ginger, red onion, kasuri methi"
Dum aloo,"baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
Poha,"beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
Fara,"chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
Kachori,"moong dal, rava, garam masala, dough, fennel seeds"
Kadai paneer,"cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
Kadhi pakoda,"besan, garam masala powder, gram flour, ginger, curry leaves"
Karela bharta,"bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
Khichdi,"moong dal, green peas, ginger, tomato, green chili"
Kofta,"paneer, potato, cream, corn flour, garam masala"
Kulfi falooda,"rose syrup, falooda sev, mixed nuts, saffron, sugar"
Lauki ke kofte,"bottle gourd, garam masala powder, gram flour, ginger, chillies"
Lauki ki subji,"bottle gourd, coconut oil, garam masala, ginger, green chillies"
Litti chokha,"wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
Makki di roti sarson da saag,"palak, makki atta, mustard green, garam masala, ginger"
Misi roti,"whole wheat flour, chickpea flour, green chilies"
Mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum"
Mushroom matar,"canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
Naan,"whole wheat flour, honey, butter, garlic"
Navrattan korma,"green beans, potatoes, khus khus, low fat, garam masala powder"
Palak paneer,"cottage cheese, palak, cream, garam masala, butter"
Paneer butter masala,"paneer, whipping cream, garam masala, cashew nuts, butter"
Paneer tikka masala,"paneer, greek yogurt, tandoori masala, cream, bell pepper"
Pani puri,"kala chana, mashed potato, boondi, sev, lemon"
Panjeeri,"whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina"
Papad,"urad dal, sev, lemon juice, chopped tomatoes"
Paratha,"wheat flour, butter, potato, coriander"
Pattor,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pindi chana,"fennel, tea bags, tomato, kasuri methi, cinnamon"
Rajma chaval,"red kidney beans, garam masala powder, ginger, tomato, mustard oil"
Rongi,"garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
Samosa,"potatoes, green peas, garam masala, ginger, dough"
Sattu ki roti,"sattu, atta, dough, filling, mustard oil"
Shahi paneer,"cottage cheese, malai, garam masala, ginger, tomato"
Shahi tukra,"rose water, milk, white bread slices, saffron, almonds"
Vegetable jalfrezi,"baby corn, french beans, garam masala, ginger, carrot"
Tandoori Chicken,"greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
Tandoori Fish Tikka,"chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
Attu,"whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
Avial,"raw banana, elephant foot yam, long beans, tindora, urad dal"
Bisi bele bath,"split pigeon peas, chana dal, urad dal, green peas, french beans"
Currivepillai sadam ,"chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
Dosa,"chana dal, urad dal, whole urad dal, blend rice, rock salt"
Idiappam,"rice flour, hot water, grated coconut"
Idli,"split urad dal, urad dal, idli rice, thick poha, rock salt"
Kanji,"carrot, yellow mustard, red chilli, black salt"
Kaara kozhambu,"sesame oil, drumstick, tamarind paste, sambar powder, tomato"
Keerai kootu,"moong dal, chana dal, spinach, urad dal, coconut oil"
Keerai masiyal,"urad dal, curry leaves, sugar, mustard seeds, spinach"
Keerai sadam,"greens, tomato, mustard seeds, fenugreek seeds"
Keerai poriyal,"amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
Beef Fry,"beef, coconut, garam masala, curry leaves, green chilies, chili powder"
Kootu,"chana dal, urad dal, potato, beans, peas"
Kos kootu,"moong dal, chana dal, cabbage, tamarind, curry leaves"
Koshambri,"moong dal, cucumber, curry leaves, green chili, lemon juice"
Kothamali sadam,"chana dal, urad dal, gooseberry, raw rice, curry leaves"
Kuzhakkattai,"sesame oil, raw rice, jaggery, grated coconut"
Kuzhambu,"pearl onions, urad dal, drumsticks, tomato, curry leaves"
Masala Dosa,"chana dal, urad dal, potatoes, idli rice, thick poha"
Pachadi,"coconut oil, cucumber, curd, curry leaves, mustard seeds"
Paniyaram,"yogurt, ginger, curry leaves, baking soda, green chilli"
Papadum,"lentils, black pepper, vegetable oil"
Paravannam,"raw rice,  jaggery, milk"
Payasam,"rice, cashew nuts, milk, raisins, sugar"
Paruppu sadam,"arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
Pesarattu,"green moong beans, rice flour"
Poriyal,"chana dal, urad dal, beans, coconut, mustard"
Puli sadam,"urad dal, lemon, tamarind, cooked rice, curry leaves"
Rasam,"tomato, curry leaves, garlic, mustard seeds, hot water"
Puttu,"brown rice flour, sugar, grated coconut"
Sambar,"pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
Sandige,"thin rice flakes, black sesame seeds, curry leaves"
Sevai,"sevai, parboiled rice, steamer"
Thayir sadam,"urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
Theeyal,"coconut, whole red beans, masala, sesame oil, tamarind"
Uttapam,"chana dal, urad dal, thick poha, tomato, butter"
Vada,"urad dal, ginger, curry leaves, green chilies, black pepper"
Chicken Varuval,"meat curry powder, chicken chunks, ginger, tomato, cinnamon"
Upma,"chana dal, urad dal, ginger, curry leaves, sugar"
Amti,"kala masala, arhar dal, curry leaves, mustard seeds, hot water"
Zunka,"gram flour, mustard, garlic, turmeric, red chilli"
Kolim Jawla,"baingan, fish, coconut oil, fresh coconut, ginger"
Saath,"urad dal, potatoes, wheat flour, sooji"
Bajri no rotlo,"wheat flour, pearl millet flour, hot water"
Coconut vadi,"condensed milk, mawa, desiccated coconut, almonds, cashews"
Bhakri,"jowar flour, sesame seeds"
Bombil fry,"bombay duck, malvani masala, rice flour, bombay rava, green chilies"
Chakali,"rice flour, sesame, plain flour, turmeric, red chilli"
Chevdo,"citric acid, fry, raisins, sugar, chana daal"
Chorafali,"urad dal, bengal gram flour, dried mango, baking soda, black salt"
Copra paak,"condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
Daal Dhokli,"whole wheat flour, dal, kokum, gur, bengal gram flour"
Kutchi dabeli,"pav, aloo, peanut, pomegranate, star anise"
Dahi vada,"urad dal, bhuna chana, garam masala, dates, tamarind"
Dalithoy,"arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
Dhokla,"rava, coconut, gram flour, mustard, sesame"
Dudhi halwa,"bottle gourd, green, raisins, sugar, clarified butter"
Gatta curry,"yogurt, besan, sauce, garam masala powder, gram flour"
Gud papdi,"wheat flour, jaggery, clarified butter, sliced almonds"
Ghooghra,"dry fruits, semolina, all purpose flour"
Handwo,"bottle gourd, chana dal, cabbage, urad dal, toor dal"
Halvasan,"whole wheat rava, chia seed, lemon, edible gum, litre milk"
Jeera Aloo,"green chilies, lemon juice, chili powder, boiled potatoes"
Kansar,"wheat flour, cashews, rapeseed oil"
Keri no ras,"mango, sugar"
Khakhra,"whole wheat flour, low fat, bengal gram flour"
Khandvi,"green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
Kombdi vade,"rice flour, urad dal, wheat flour, gram flour, turmeric"
Laapsi,"cinnamon, jaggery, clarified butter, dry roasted"
Koshimbir,"cucumber, carrot, tomatoes, cilantro"
Methi na Gota,"rava, gram flour, lemon juice, turmeric, fenugreek leaves"
Mohanthal,"rose water, pistachio, badam, bengal gram flour, saffron"
Muthiya,"bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
Patra,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pav Bhaji,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
Puri Bhaji,"aloo, urad dal, mustard, ginger, curry leaves"
Sabudana Khichadi,"raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
Sev khamani,"khaman, pomegranate, sev, powdered sugar, garlic"
Sev tameta,"sev, ginger, tomato, sugar"
Namakpara,"wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
Sukhdi,"whole wheat flour, gur, clarified butter"
Surnoli,"rice flakes, yogurt, raw rice, jaggery, grated coconut"
Thalipeeth,"whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
Undhiyu,"sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
Veg Kolhapuri,"gobi, potato, beans, khus khus, coconut"
Vindaloo,"chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
Lilva Kachori,"green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
Mag Dhokli,"moong beans, jaggery, red chillies, oil, salt"
Khichu,"rice flour, sesame seeds, baking soda, peanut oil"
Thepla,"chickpea flour, methi leaves, jowar flour, wheat flour"
Farsi Puri,"semolina, clarified butter, oil, white flour, black pepper"
Khaman,"yogurt, fresh coconut, sesame seeds, semolina, gram flour"
Turiya Patra Vatana sabji,"ridge gourd, baking soda, sugar, grated coconut, peas"
Churma Ladoo,"whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
Cheera Doi,"rice, mango, curd"
Gheela Pitha,"sticky rice, rice flour, jaggery, orange rind"
Khar,"raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
Kumol Sawul,"rice, eggs, carrot, beetroot"
Luchi,"maida, vegetable oil"
Alu Pitika,"potatoes, mustard oil, fish, green chillies"
Masor tenga,"ridge gourd, fish, lemon, tomatoes, mustard oil"
Bengena Pitika,"brinjal, onions, salt, sesame seeds, coriander"
Bilahi Maas,"potatoes, garam masala, tomatoes, mustard oil, bay leaf"
Black rice,"forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
Bora Sawul,"biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
Brown Rice,"brown rice, soy sauce, olive oil"
Chingri malai curry,"coconut milk, lobster, fresh green chilli, ginger, red onion"
Goja,"baking soda, clarified butter, oil, all purpose flour"
Hando Guri,"jaggery, raisins"
Haq Maas,"lamb, garam masala powder, curd, turmeric, bay leaf"
Chingri Bhape,"coconut, prawns, curd, mustard seed, green chili"
Kabiraji,"fish fillet, besan, lemon, mint, ginger"
Khorisa,"fermented bamboo shoot, potato, ginger, green, mustard oil"
Koldil Chicken,"banana flower, chicken, green chili, mustard oil, lemon juice"
Konir Dom,"aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
Koldil Duck,"rice flour, mutton, banana, gram flour, olive oil, baking powder"
Masor Koni,"fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
Mishti Chholar Dal,"chana dal, fresh coconut, ginger, cinnamon, raisins"
Pakhala,"curd, cooked rice, curry leaves, dry chilli"
Pani Pitha,"tea leaves, white sesame seeds, dry coconut, soaked rice"
Payokh,"basmati rice, rose water, sugar, clarified butter, cardamom pods"
Prawn malai curry,"coconut milk, prawns, garlic, turmeric, sugar"
Red Rice,"red pepper, red onion, butter, watercress, olive oil"
Shukto,"green beans, bitter gourd, ridge gourd, banana, brinjal"
Til Pitha,"glutinous rice, black sesame seeds, gur"
Bebinca,"coconut milk, egg yolks, clarified butter, all purpose flour"
Shufta,"cottage cheese, dry dates, dried rose petals, pistachio, badam"
Mawa Bati,"milk powder, dry fruits, arrowroot powder, all purpose flour"
Pinaca,"brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
